state,time
run,30
stop,10
run,20
stop,5
run,10
stop,20,
run,15
stop,10
run,30
stop,10
run,20
stop,5
run,10
stop,20,
run,15
stop,10
run,30
stop,10
run,20
stop,5
run,10
stop,20,
run,15
stop,10
run,30
stop,10
run,20
stop,5
run,10
stop,20,
run,15
stop,10
run,30
stop,10
run,20
stop,5
run,10
stop,20,
run,15
stop,10
run,30
stop,10
run,20
stop,5
run,10
stop,20,
run,15
stop,10
run,30
stop,10
run,20
stop,5
run,10
stop,20,
run,15
stop,10
run,30
stop,10
run,20
stop,5
run,10
stop,20,
run,15
stop,10
run,30
stop,10
run,20
stop,5
run,10
stop,20,
run,15
stop,10
run,30
stop,10
run,20
stop,5
run,10
stop,20,
run,15
stop,10
run,30
stop,10
run,20
stop,5
run,10
stop,20,
run,15
stop,10
run,30
stop,10
run,20
stop,5
run,10
stop,20,
run,15
stop,10
run,30
stop,10
run,20
stop,5
run,10
stop,20,
run,15
stop,10
run,30
stop,10
run,20
stop,5
run,10
stop,20,
run,15
stop,10
